all_tracts,Income
200,28686
301,6759
302,11329
402,6573
500,35213
700,34568
800,48634
901,26800
902,57193
1000,49566
1100,72064
1201,42910
1203,70000
1204,116473
1205,81250
1206,93558
1301,69761
1302,77591
1400,61302
5300,19818
5401,31086
5402,53024
5500,45364
5600,39205
5701,36509
5702,50399
5800,57542
5900,7470
6000,24655
10100,40496
10204,41080
10300,33580
10400,57806
10500,70282
10601,90861
10603,64069
10604,58092
10700,71138
10800,58750
10900,69260
11000,34291
11100,21536
