,all_tracts,Income,Hhsize_tracts,1,2,3,4
0,200.0,28686,200.0,28432.0,38182.0,27371.0,32750.0
1,301.0,6759,301.0,4478.0,7244.0,7310.0,10849.0
2,302.0,11329,700.0,23851.0,51712.0,41845.0,37344.0
3,401.99999999999994,6573,800.0,45438.0,49590.0,45417.0,46667.0
4,500.0,35213,902.0,42418.0,60096.0,67639.0,69063.0
5,700.0,34568,1000.0,34875.0,67977.0,88819.0,70179.0
6,800.0,48634,1100.0,51000.0,73988.0,84531.0,104659.0
7,901.0,26800,1201.0,27380.0,59844.0,39628.0,61167.0
8,902.0,57193,1204.0,47083.0,94318.0,127135.0,195323.0
9,1000.0,49566,1206.0,52750.0,101875.0,95625.0,138750.0
10,1100.0,72064,1301.0,31150.0,88466.0,87174.0,95417.0
11,1201.0,42910,1302.0,35852.0,97431.0,101196.0,106750.0
12,1203.0,70000,1400.0,25179.0,49732.0,103352.0,90909.0
13,1204.0,116473,5300.0,8531.0,34375.0,35732.0,30446.0
14,1205.0,81250,10400.0,32212.0,70121.0,65357.0,90104.0
15,1206.0,93558,10500.0,34318.0,67083.0,87159.0,82054.0
16,1301.0,69761,10601.0,30341.0,86394.0,92353.0,106324.0
17,1302.0,77591,10603.0,25799.0,74274.0,56333.0,106583.0
18,1400.0,61302,10604.0,27143.0,80455.0,99688.0,52019.0
19,5300.0,19818,10700.0,31475.0,70801.0,85769.0,85978.0
20,5401.0,31086,10800.0,29554.0,60938.0,85625.0,81667.0
21,5402.0,53024,10900.0,31860.0,76250.0,75625.0,98661.0
22,5500.0,45364,11100.0,20115.0,31850.0,15109.0,17813.0
23,5600.0,39205,,,,,
24,5701.0,36509,,,,,
25,5702.0,50399,,,,,
26,5800.0,57542,,,,,
27,5900.0,7470,,,,,
28,6000.0,24655,,,,,
29,10100.0,40496,,,,,
30,10204.0,41080,,,,,
31,10300.0,33580,,,,,
32,10400.0,57806,,,,,
33,10500.0,70282,,,,,
34,10601.0,90861,,,,,
35,10603.0,64069,,,,,
36,10604.0,58092,,,,,
37,10700.0,71138,,,,,
38,10800.0,58750,,,,,
39,10900.0,69260,,,,,
40,11000.0,34291,,,,,
41,11100.0,21536,,,,,
