all_tracts,Income,Hhsize_tracts,1,2,3,4
"Census Tract 2, Champaign County, Illinois",28686,"Census Tract 2, Champaign County, Illinois",28432,38182,27371,32750
"Census Tract 3.01, Champaign County, Illinois",6759,"Census Tract 3.01, Champaign County, Illinois",4478,7244,7310,10849
"Census Tract 3.02, Champaign County, Illinois",11329,"Census Tract 7, Champaign County, Illinois",23851,51712,41845,37344
"Census Tract 4.02, Champaign County, Illinois",6573,"Census Tract 8, Champaign County, Illinois",45438,49590,45417,46667
"Census Tract 5, Champaign County, Illinois",35213,"Census Tract 9.02, Champaign County, Illinois",42418,60096,67639,69063
"Census Tract 7, Champaign County, Illinois",34568,"Census Tract 10, Champaign County, Illinois",34875,67977,88819,70179
"Census Tract 8, Champaign County, Illinois",48634,"Census Tract 11, Champaign County, Illinois",51000,73988,84531,104659
"Census Tract 9.01, Champaign County, Illinois",26800,"Census Tract 12.01, Champaign County, Illinois",27380,59844,39628,61167
"Census Tract 9.02, Champaign County, Illinois",57193,"Census Tract 12.04, Champaign County, Illinois",47083,94318,127135,195323
"Census Tract 10, Champaign County, Illinois",49566,"Census Tract 12.06, Champaign County, Illinois",52750,101875,95625,138750
"Census Tract 11, Champaign County, Illinois",72064,"Census Tract 13.01, Champaign County, Illinois",31150,88466,87174,95417
"Census Tract 12.01, Champaign County, Illinois",42910,"Census Tract 13.02, Champaign County, Illinois",35852,97431,101196,106750
"Census Tract 12.03, Champaign County, Illinois",70000,"Census Tract 14, Champaign County, Illinois",25179,49732,103352,90909
"Census Tract 12.04, Champaign County, Illinois",116473,"Census Tract 53, Champaign County, Illinois",8531,34375,35732,30446
"Census Tract 12.05, Champaign County, Illinois",81250,"Census Tract 104, Champaign County, Illinois",32212,70121,65357,90104
"Census Tract 12.06, Champaign County, Illinois",93558,"Census Tract 105, Champaign County, Illinois",34318,67083,87159,82054
"Census Tract 13.01, Champaign County, Illinois",69761,"Census Tract 106.01, Champaign County, Illinois",30341,86394,92353,106324
"Census Tract 13.02, Champaign County, Illinois",77591,"Census Tract 106.03, Champaign County, Illinois",25799,74274,56333,106583
"Census Tract 14, Champaign County, Illinois",61302,"Census Tract 106.04, Champaign County, Illinois",27143,80455,99688,52019
"Census Tract 53, Champaign County, Illinois",19818,"Census Tract 107, Champaign County, Illinois",31475,70801,85769,85978
"Census Tract 54.01, Champaign County, Illinois",31086,"Census Tract 108, Champaign County, Illinois",29554,60938,85625,81667
"Census Tract 54.02, Champaign County, Illinois",53024,"Census Tract 109, Champaign County, Illinois",31860,76250,75625,98661
"Census Tract 55, Champaign County, Illinois",45364,"Census Tract 111, Champaign County, Illinois",20115,31850,15109,17813
"Census Tract 56, Champaign County, Illinois",39205,,,,,
"Census Tract 57.01, Champaign County, Illinois",36509,,,,,
"Census Tract 57.02, Champaign County, Illinois",50399,,,,,
"Census Tract 58, Champaign County, Illinois",57542,,,,,
"Census Tract 59, Champaign County, Illinois",7470,,,,,
"Census Tract 60, Champaign County, Illinois",24655,,,,,
"Census Tract 101, Champaign County, Illinois",40496,,,,,
"Census Tract 102.04, Champaign County, Illinois",41080,,,,,
"Census Tract 103, Champaign County, Illinois",33580,,,,,
"Census Tract 104, Champaign County, Illinois",57806,,,,,
"Census Tract 105, Champaign County, Illinois",70282,,,,,
"Census Tract 106.01, Champaign County, Illinois",90861,,,,,
"Census Tract 106.03, Champaign County, Illinois",64069,,,,,
"Census Tract 106.04, Champaign County, Illinois",58092,,,,,
"Census Tract 107, Champaign County, Illinois",71138,,,,,
"Census Tract 108, Champaign County, Illinois",58750,,,,,
"Census Tract 109, Champaign County, Illinois",69260,,,,,
"Census Tract 110, Champaign County, Illinois",34291,,,,,
"Census Tract 111, Champaign County, Illinois",21536,,,,,
